Province,Municipality,Barangay,Facility_Name,Facility_Type,Beds,Doctors_count,Nurses_count,Distance_to_Nearest_Hospital_km,Road_Condition,Public_Transport_Availability,Population,Median_Income_PHP,Year_Established,OpenHours,Contact_Info,GPS_lat,GPS_long,Notes
Cavite,Dasmariñas,Poblacion,Dasma General Hospital,Hospital,150,12,48,0.5,Good,Yes,745751,15000,1998,24/7,+63 46 481-2345,14.3195,120.9373,"Main hub; referral center; parking: yes"
Cavite,Bacoor,Bgys. Zapote,St. Luke's - Bacoor,Clinic,25,2,8,5 kms,poor, Limited,600000,12000,2005,8am-5pm,046-1234567,14.4378,120.9499,"Note: sometimes closed on holidays; phone sometimes w/o area code"
Cavite,Imus,Anabu,Imus Health Center,Health Center,8,0,4, 0.3 , good ,yes, a lot, 450000,8,2001,7:00-16:00, (046) 789-0001 ,14.4263,120.9375,"pop est: ~450,000; 'a lot' transport; notes: staff shortage"
Laguna,Calamba,Banlic,Calamba Medical Clinic,Clinic,40,5,12,2.5, Fair, yes, 540000, 18000,1995,24Hrs,+63-49-521-3333,14.2111,121.1655,"GPS maybe off; some entries: 'N/A' in some rows"
Laguna,Sta. Rosa,Laguna Technopark,Santa Rosa General,Hospital,210,20,60,0.9,good,Yes,350000,22000,2010,24/7,049-555-8888,14.3138,121.1099,"Reference: private; partnership: X corp"
Laguna,Los Baños,College,BGH Los Baños,Clinic,12,1,5, 10km , poor ,no, 112000,9000,1980,8AM-5PM,unknown,14.1631,121.2433,"mentions research facility nearby; contact missing"
Batangas,Lipa,Malvar,Lipa City Hospital,Hospital,180,18,55,0,Good,Yes,372931,17000,1992,"24/7","(+63)43-756-2222",13.9414,121.1620,"duplicate entry? also appears in file2"
Batangas,Batangas City,Poblacion,Batangas City RHU,Health Center,20,3,10,1.2, Fair , Yes , 308000 , 14000 , 1987,8:00-17:00,043-723-0000,13.7566,121.0583,"road works near, note: 'construction ongoing' "
Batangas,Tanauan,Poblacion,Tanauan Medical,Clinic,30,4,9,3.2,good,Yes, 150000,13000,2002,8-17,043 701 1100,14.0744,121.0942,"Typos in phone: some rows: 043-701-110"
Rizal,Antipolo,Dela Paz,Antipolo General,Hospital,220,22,70,0.7, Good, Yes,776386,20000,1990,24/7,02-888-9999,14.5886,121.0850,"Antipolo city hospital; some fields include commas, e.g., 776,386"
Rizal,Taytay,Claveria,Taytay Health Center,Health Center,10,1,6,4km,poor,Limited,200000,8500,1999,7:30-16:30,0965-000-111,14.5475,121.1081,"transport 'limited' ; note: 'nurses part-time'"
Rizal,Cainta,Parang,Cainta Clinic,Clinic,15,2,7,2.0, Fair, Yes, 322128,11000,2008,9-17, +63 2 123 4567 ,14.5706,121.1020,"note: 'contact via FB' may be present"
Quezon,Lucena City,Poblacion,Lucena Regional Hospital,Hospital,300,30,120,0.2,Good,Yes,266248,16000,1974,24/7,042-710-2000,13.9414,121.6090,"Major referral hospital; multiple entries duplicate"
Quezon,Tayabas,Poblacion,Tayabas City Health Center,Health Center,12,1,4,17 km,poor,no, 110000,8000,1997,8AM-5PM,042-765-4321,13.9618,121.2157,"notes: some entries '—' as missing"
Quezon,Sariaya,Poblacion,Sariaya Rural Clinic,Clinic,6,0,3,30 km, Very poor, None, 65000,5000,2015,09:00-12:00,"N/A",13.9920,121.4411,"'Very poor' road, boat transfer sometimes; stray HTML: <br>"
Quezon,Pagbilao,Sta. Elena,Pagbilao Community Hospital,Hospital,80,7,20,1.5,OK,Yes,55000,11000,2000,24/7,042-740-1234,13.9677,121.6402,"note: 'clinic and hospice' mixed"
Quezon,Candelaria,Poblacion,Candelaria RHU,Health Center,14,2,6,8km, Fair ,Yes,98000,7000,2003,8am-5pm,042-555-1212,13.9981,121.3222,"data: 'population approx 98k; median income: 7,000 PHP'"
Quezon,Gumaca,Poblacion,Gumaca District Clinic,Clinic,10,1,5,40.0,poor,no,75000,6000,1990,8-16,042-781-0000,13.8559,122.1991,"GPS approximate; notes: 'seasonal flooding, access limited' "
Cavite,Tagaytay,Calamba West,Tagaytay Medical,Hospital,120,10,40,0.4,good,Yes, 74000, 20000, 1985,24/7,046-412-7777,14.0994,120.9288,"tourist area, traffic affects access"
